"Priority","Organization","Project","Type","Subsidy","Matching","Total","Start_date","End_date","State","Region","Geocoding_round","county","city_name","postal_code","lat_coords","long_coords","LAU1_CODE","LAU1_NAME"
"P1","Wales Council for Voluntary Action","Gateway Competitiveness ESF P1","ESF",2000001,0,5000001,"04/2009","11/2012","Wales","Wales","First","Cardiff","Cardiff","CF10","51.4651864","-3.1677197","UKL2207","Cardiff"
"P1","University of Wales","Innovation Placements Programme","ERDF",1890254,0,4036417,"02/2009","01/2015","Wales","Wales","First","Cardiff","Cardiff","CF10","51.4863195","-3.1813684","UKL2207","Cardiff"
"P4","Countryside Council for Wales","Coastal Access","ERDF",3893307,0,7338151,"06/2009","12/2013","Wales","Wales","First","Cardiff","Cardiff","CF3","51.5286621","-3.0838095","UKL2207","Cardiff"
"P2","Wales Council for Voluntary Action","Communities Investment Fund","ERDF",1798590,0,4101218,"10/2010","12/2014","Wales","Wales","First","Cardiff","Cardiff","CF10","51.4651864","-3.1677197","UKL2207","Cardiff"
"P1","Wales Council for Voluntary Action","Competitiveness Intermediate Labour Market Programme","ESF",2460042,0,7246650,"04/2009","03/2015","Wales","Wales","First","Cardiff","Cardiff","CF10","51.4651864","-3.1677197","UKL2207","Cardiff"
"P2","Cardiff Metropolitan University","20 Twenty Leadership Programme","ESF",2182042,0,5454819,"09/2009","09/2015","Wales","Wales","First","Cardiff","Cardiff","CF5 2YB","51.4955104","-3.2114587","UKL2207","Cardiff"
"P4","Tidal Energy Limited","Deltastream Prototype (Stage 1)","ERDF",572652,0,1008083,"01/2008","08/2010","Wales","Wales","First","Cardiff","Cardiff","CF23 8RS","51.5407516","-3.1354147","UKL2207","Cardiff"
"P2","Big Lottery Fund","Life Skills Convergence","ESF",4306869,0,7830670,"04/2009","06/2015","Wales","Wales","First","Cardiff","Cardiff","CF10 2DX","51.4811032","-3.1711956","UKL2207","Cardiff"
"P1","Big Lottery Fund","Life Skills RCE","ESF",2265081,0,5662701,"04/2009","06/2015","Wales","Wales","First","Cardiff","Cardiff","CF10 2DX","51.4811032","-3.1711956","UKL2207","Cardiff"
"P1","Cardiff University","SEREN","ERDF",5665698,0,10116962,"03/2010","06/2015","Wales","Wales","First","Cardiff","Cardiff","CF10 3XQ","51.4657448","-3.1936342","UKL2207","Cardiff"
"P6","Wales Council for Voluntary Action","Third Sector European Team ERDF Convergence","ERDF",574845,0,1045174,"07/2008","12/2015","Wales","Wales","First","Cardiff","Cardiff","CF10","51.4651864","-3.1677197","UKL2207","Cardiff"
"P5","Wales Council for Voluntary Action","Third Sector European Team ESF Convergence","ESF",411844,0,748807,"07/2008","12/2015","Wales","Wales","First","Cardiff","Cardiff","CF10","51.4651864","-3.1677197","UKL2207","Cardiff"
"P5","Wales Council for Voluntary Action","Third Sector European Team ERDF Competitiveness","ERDF",83859,0,152476,"07/2008","12/2015","Wales","Wales","First","Cardiff","Cardiff","CF10","51.4651864","-3.1677197","UKL2207","Cardiff"
"P4","Cardiff Council","Butetown Regeneration Project","ERDF",2000000,0,8728094,"10/2010","06/2015","Wales","Wales","First","Cardiff","Cardiff","CF10","51.4837155","-3.1785615","UKL2207","Cardiff"
