"Priority","Organization","Project","Type","Subsidy","Matching","Total","Start_date","End_date","State","Region","Geocoding_round","county","city_name","postal_code","lat_coords","long_coords"
"P1","Comhairle nan Eilean Siar","Outer Hebrides Small Business Assistance Scheme","ERDF","336000","N/A","840000","N/A","N/A","Scotland","Highland and Islands","First","Na h-Eileanan an Iar","Stornoway","HS1","58.2083526","-6.3695006"
"P1","Comhairle nan Eilean Siar","Creative Industries and Media Centre - Stornoway","ERDF","1040000","N/A","2600000","N/A","N/A","Scotland","Highland and Islands","First","Na h-Eileanan an Iar","Stornoway","HS1","58.2083526","-6.3695006"
"P1","Comhairle nan Eilean Siar","Business GatewayPlus","ERDF","60000","N/A","150000","N/A","N/A","Scotland","Highland and Islands","First","Na h-Eileanan an Iar","Stornoway","HS1","58.2083526","-6.3695006"
"P2","Comhairle nan Eilean Siar","Lews Castle Museum & Archive - Revised","ERDF","1800000","N/A","6660000","N/A","N/A","Scotland","Highland and Islands","First","Na h-Eileanan an Iar","Stornoway","HS1","58.2083526","-6.3695006"
"P2","Comhairle nan Eilean Siar","Scotland's Islands","ERDF","432951","N/A","962631","N/A","N/A","Scotland","Highland and Islands","First","Na h-Eileanan an Iar","Stornoway","HS1","58.2083526","-6.3695006"
"P2","Comhairle nan Eilean Siar","Hebridean Archiving","ERDF","155435","N/A","345413","N/A","N/A","Scotland","Highland and Islands","First","Na h-Eileanan an Iar","Stornoway","HS1","58.2083526","-6.3695006"
"P3","Comhairle nan Eilean Siar","Roads to Communities: B8011 Gisla to Enaclete Improvement","ERDF","479125","N/A","3372525","N/A","N/A","Scotland","Highland and Islands","First","Na h-Eileanan an Iar","Stornoway","HS1","58.2083526","-6.3695006"
"P3","Comhairle nan Eilean Siar","Roads to Communities: Doune Carloway to Kirivik Improvement","ERDF","223975","N/A","895900","N/A","N/A","Scotland","Highland and Islands","First","Na h-Eileanan an Iar","Stornoway","HS1","58.2083526","-6.3695006"
"P3","Comhairle nan Eilean Siar","A865 Spinal Route Improvements - North/South Uist","ERDF","500000","N/A","2009884","N/A","N/A","Scotland","Highland and Islands","First","Na h-Eileanan an Iar","Stornoway","HS1","58.2083526","-6.3695006"
"P3","Comhairle nan Eilean Siar","A859 Spinal Route Road Improvements - Harris","ERDF","500000","N/A","2261753","N/A","N/A","Scotland","Highland and Islands","First","Na h-Eileanan an Iar","Stornoway","HS1","58.2083526","-6.3695006"
"P3","Comhairle nan Eilean Siar","OHCPP Bhaltos Centre Final","ERDF","448000","N/A","1120000","N/A","N/A","Scotland","Highland and Islands","First","Na h-Eileanan an Iar","Stornoway","HS1","58.2083526","-6.3695006"
"P3","Comhairle nan Eilean Siar","OHCPP - Hebridean Way","ERDF","548148","N/A","1370370","N/A","N/A","Scotland","Highland and Islands","First","Na h-Eileanan an Iar","Stornoway","HS1","58.2083526","-6.3695006"
"P3","Comhairle nan Eilean Siar","Outer Hebrides Community Planning Partnership - An Cotan","ERDF","133964","N/A","297698","N/A","N/A","Scotland","Highland and Islands","First","Na h-Eileanan an Iar","Stornoway","HS1","58.2083526","-6.3695006"
"P3","Comhairle nan Eilean Siar","A859 Spinal Route - Stockinish to Luskentyre Phase 2","ERDF","500000","N/A","2043000","N/A","N/A","Scotland","Highland and Islands","First","Na h-Eileanan an Iar","Stornoway","HS1","58.2083526","-6.3695006"
"P2","Shetland Amenity Trust","Shetland Boat Building Centre","ERDF","121880","N/A","304700","N/A","N/A","Scotland","Highland and Islands","Fourth","Shetland Islands","Shetland","ZE1 0NY","60.1579596","-1.1536678"
"P2","Shetland Amenity Trust","Sumburgh Head Restoration & Development Project","ERDF","1803000","N/A","4091386","N/A","N/A","Scotland","Highland and Islands","Fourth","Shetland Islands","Shetland","ZE1 0NY","60.1579596","-1.1536678"
"P2","Culag Community Woodland Trust Ltd","Little Assynt Access Improvement and Training Project","ERDF","217033","N/A","595842","N/A","N/A","Scotland","Highland and Islands","None","N/A","N/A","N/A","N/A","N/A"
"P2","Shetland Arts Development Agency","Mareel - Shetland's new Music, Cinema and Education Venue","ERDF","3104123","N/A","12209914","N/A","N/A","Scotland","Highland and Islands","None","N/A","N/A","N/A","N/A","N/A"
"P4","European Structural Funds Division","Scottish Government: EPRC Partnership - H&I ERDF","ERDF","3681","N/A","7363","N/A","N/A","Scotland","Highland and Islands","None","N/A","N/A","N/A","N/A","N/A"
"P4","European Structural Funds Division","Evaluation Dundee CPP MI tracking System H&I ERDF","ERDF","900","N/A","1800","N/A","N/A","Scotland","Highland and Islands","None","N/A","N/A","N/A","N/A","N/A"
"P4","European Structural Funds Division","CPP MI System H&I ERDF - Dundee City Council","ERDF","2250","N/A","4500","N/A","N/A","Scotland","Highland and Islands","None","N/A","N/A","N/A","N/A","N/A"
"P4","European Structural Funds Division","Gender Mainstreaming H&I ERDF - GCU","ERDF","3149","N/A","7796","N/A","N/A","Scotland","Highland and Islands","None","N/A","N/A","N/A","N/A","N/A"
"P4","European Structural Funds Division","Social Innovation H&I ERDF - GCU","ERDF","3474","N/A","6948","N/A","N/A","Scotland","Highland and Islands","None","N/A","N/A","N/A","N/A","N/A"
"P4","European Structural Funds Division","H&I ERDF Technical Assistance 2007-2013 (2)","ERDF","2250000","N/A","4500000","N/A","N/A","Scotland","Highland and Islands","None","N/A","N/A","N/A","N/A","N/A"
"P4","European Structural Funds Division","H&I ERDF Technical Assistance 2007-2013","ERDF","1279658","N/A","2559316","N/A","N/A","Scotland","Highland and Islands","None","N/A","N/A","N/A","N/A","N/A"
