"Priority","Organization","Project","Type","Subsidy","Matching","Total","Start_date","End_date","State","Region","Geocoding_round","county","city_name","postal_code","lat_coords","long_coords"
"P1","Skillnet Edinburgh","Black Community Skills project (Round 3)","ESF","146293","N/A","336802","N/A","N/A","Scotland","Lowlands and Uplands","Second","Edinburgh","Edinburgh","EH7 5QL","55.9600753","-3.165509"
"P1","Skills Development Scotland","Activate","ESF","525262","N/A","1167250","N/A","N/A","Scotland","Lowlands and Uplands","Second","Scottish Borders","Galashiels","TD1 1QA","55.6221714","-2.8210352"
"P1","Skills Development Scotland","Flexible Support Project","ESF","423760","N/A","941689","N/A","N/A","Scotland","Lowlands and Uplands","Second","Scottish Borders","Galashiels","TD1 1QA","55.6221714","-2.8210352"
"P1","South Lanarkshire College","Take a Chance","ESF","291836","N/A","711173","N/A","N/A","Scotland","Lowlands and Uplands","Second","South Lanarkshire","Glasgow","G75 0YW","55.7530077","-4.1615014"
"P1","South Lanarkshire College","Take a Chance Too","ESF","418166","N/A","972480","N/A","N/A","Scotland","Lowlands and Uplands","Second","South Lanarkshire","Glasgow","G75 0YW","55.7530077","-4.1615014"
"P1","South Lanarkshire College","Skills for Sustainable Energies and New Technologies","ESF","308461","N/A","771151","N/A","N/A","Scotland","Lowlands and Uplands","Second","South Lanarkshire","Glasgow","G75 0YW","55.7530077","-4.1615014"
"P1","South Lanarkshire Council","SL CPP ESF","ESF","4863102","N/A","10806892","N/A","N/A","Scotland","Lowlands and Uplands","Second","South Lanarkshire","Glasgow","G75 0YW","55.7530077","-4.1615014"
"P1","Stevenson College Edinburgh","WEACT II","ESF","96365","N/A","214145","N/A","N/A","Scotland","Lowlands and Uplands","Second","Edinburgh","Edinburgh","EH5 1QE","55.9776111","-3.244877"
"P1","The Action Group","Real Jobs Edinburgh Plus","ESF","107226","N/A","238569","N/A","N/A","Scotland","Lowlands and Uplands","Second","Edinburgh","Edinburgh","EH7 5QY","55.9613508","-3.1667863"
"P1","The Coach House Trust","Transitions to Inclusion","ESF","194799","N/A","500922","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12 8EN","55.875862","-4.2823827"
"P1","The Coach House Trust","Transitions to Inclusion 2","ESF","199614","N/A","513220","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12 8EN","55.875862","-4.2823827"
"P1","The Coach House Trust","Transitions to Inclusion 3","ESF","201455","N/A","516551","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12 8EN","55.875862","-4.2823827"
"P1","The Prince's Trust","Developing the potential of Scotland’s most disadvantaged YP","ESF","264069","N/A","586820","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G5 9JP","55.8541945","-4.2576619"
"P1","The Prince's Trust","Broidging the Gap","ESF","172799","N/A","383999","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G5 9JP","55.8541945","-4.2576619"
"P1","The Prince's Trust","Bridging the Gap","ESF","1369787","N/A","3281988","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G5 9JP","55.8541945","-4.2576619"
"P1","The Prince's Trust","Life Working","ESF","904904","N/A","2066569","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G5 9JP","55.8541945","-4.2576619"
"P1","The Prince's Trust","Addressing disadvantage through Get Into","ESF","274981","N/A","798854","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G5 9JP","55.8541945","-4.2576619"
"P1","The Prince's Trust","Addressing disadvantage through Team","ESF","998009","N/A","2819024","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G5 9JP","55.8541945","-4.2576619"
"P1","The Prince's Trust","Addressing disadvantage through Get Started","ESF","107444","N/A","305944","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G5 9JP","55.8541945","-4.2576619"
"P1","The Scottish Government","Training For Work 2009/2010","ESF","2413200","N/A","5362666","N/A","N/A","Scotland","Lowlands and Uplands","Second","Edinburgh","Edinburgh","EH1 3DG","55.9537024","-3.1827618"
"P1","The Wise Group","Routes Out of Prison (RooP)","ESF","218183","N/A","484852","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G1 5DW","55.8536351","-4.2408593"
"P1","The Wise Group","Routes out of Prison","ESF","502453","N/A","1435581","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G1 5DW","55.8536351","-4.2408593"
