"Priority","Organization","Project","Type","Subsidy","Matching","Total","Start_date","End_date","State","Region","Geocoding_round","county","city_name","postal_code","lat_coords","long_coords"
"P1","Glasgow City Council","Gangs Into Employment Initiative","ESF","212847","N/A","481911","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G2 1DU","55.861152","-4.2501962"
"P1","Glasgow City Council","Learning Disabilites Supported Employment Service","ESF","130953","N/A","306069","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G2 1DU","55.861152","-4.2501962"
"P1","Glasgow City Council","Choice Works","ESF","172286","N/A","540993","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G2 1DU","55.861152","-4.2501962"
"P1","Glasgow Clyde College","Ways to Work","ESF","205967","N/A","457705","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","Building Glasgow's Young People","ESF","192071","N/A","426825","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","Community Based Training for Employment","ESF","288547","N/A","721367","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","Employment Training for those whose 1st Language is not English","ESF","225151","N/A","562878","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","Building Glasgow's Young People 2008-2010","ESF","891807","N/A","2073971","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","Opening Employability Options","ESF","127513","N/A","296542","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","Supported Pathways","ESF","114181","N/A","265537","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
